original_address,lat,lon,formatted,name,housenumber,street,county_code,district,suburb,postcode,city,county,state,state_code,confidence_street_level,country,confidence_building_level,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Đường Nguyễn Thị Thập Nối Dài - Đường Nội Bộ Khu Dân Cư Him Lam (Phường Tân Hưng),Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,,Phường Tân Hưng,,,Hải Phòng,,Phường Tân Hưng,,,Vietnam,,vn,0.05555555555555555,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 6,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.10718336483931944,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 8,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.10718336483931944,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hoàng Trọng Mậu,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,,Phường Tân Hưng,,,Hải Phòng,,Phường Tân Hưng,,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 30,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.0984375,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 60, 62 Lâm Văn Bền (Phường Tân Kiểng),Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",15.66667,108.5,"Phuong Tan, Vietnam",,,,,,,,Phuong Tan,,,,,Vietnam,,vn,0.1575,0.63,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.739486,106.713701,"Đường Mai Văn Vĩnh, Ho Chi Minh City, HC 72911, Vietnam",,,Đường Mai Văn Vĩnh,,,,72911,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,0.15,Vietnam,,vn,0.15,0.15,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Văn Lương,Phường Tân Kiểng,Quận 7,TP. Hồ Chí Minh",10.74543075,106.70477278624179,"Chợ Tân Kiểng 2, Le Van Luong, Ho Chi Minh City, 72911, Vietnam",Chợ Tân Kiểng 2,,Le Van Luong,,,,72911,Ho Chi Minh City,Phường Tân Hưng,,,0.08888888888888889,Vietnam,,vn,0.08888888888888889,0.08888888888888889,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Huỳnh Mẫn Đạt,Phường 12,Quận 5,TP. Hồ Chí Minh",10.75567,106.66745,"Quan Nam, HC, Vietnam",,,,,,,,Quan Nam,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D1,Phường Tân Hưng,Quận 7,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,,Phường Tân Hưng,,,Hải Phòng,,Phường Tân Hưng,,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Long Hòa,Huyện Cần Giờ,TP. Hồ Chí Minh",10.47216635,106.77112326215055,"UBND Xã Lý Nhơn, Đường huyện 10, HC, Vietnam",UBND Xã Lý Nhơn,,Đường huyện 10,CG,,,,,Xã Tân Đông,Đồng Tháp Province,HC,,Vietnam,,vn,0.2222222222222222,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Cừ,Phường 12,Quận 5,TP. Hồ Chí Minh",10.75567,106.66745,"Quan Nam, HC, Vietnam",,,,,,,,Quan Nam,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Hưng Đạo,Phường 11,Quận 5,TP. Hồ Chí Minh",10.75567,106.66745,"Quan Nam, HC, Vietnam",,,,,,,,Quan Nam,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Bình Trọng,Phường 12,Quận 5,TP. Hồ Chí Minh",10.75567,106.66745,"Quan Nam, HC, Vietnam",,,,,,,,Quan Nam,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 102, Phường Tăng Nhơn Phú A,Phường Tăng Nhơn Phú A,Quận 9,TP. Hồ Chí Minh",10.7368073,106.7095044,"102, Đường số 47, Ho Chi Minh City, HC 72910, Vietnam",,102,Đường số 47,,,,72910,Ho Chi Minh City,Phường Tân Hưng,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Gò Cát,Phường Phú Hữu,Quận 9,TP. Hồ Chí Minh",10.79155,106.79735,"Phường Phú Hữu, HC, Vietnam",,,,,,,,Phường Phú Hữu,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0.405,0.81,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Hồ Bá Phấn,Phường Phước Long A,Quận 9,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên Phường Phú Hữu,Phường Phú Hữu,Quận 9,TP. Hồ Chí Minh",20.791451,106.6398593,"Phường Phù Liễn, Hải Phòng, Vietnam",,,,,Kiến An District,Phường Phù Liễn,,Hải Phòng,,,,,Vietnam,,vn,0.0625,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Duy Trinh,Phường Trường Thạnh,Quận 9,TP. Hồ Chí Minh",15.990364875526545,108.26706466674115,"Nguyễn Duy Trinh, Ngũ Hành Sơn, Đà Nẵng, Vietnam",Nguyễn Duy Trinh,,Nguyễn Duy Trinh,,Phường Ngũ Hành Sơn,Ngũ Hành Sơn,,Đà Nẵng,,,,0.3969,Vietnam,,vn,0.19845,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Võ Văn Hát,Phường Long Trường,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,,,Quan Chin,Quan 9,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cửu Long,Phường 15,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",Quan 10,,,,,,,,Quan 10,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Tri Phương,Phường 14,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",Quan 10,,,,,,,,Quan 10,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 3/2,Phường 11,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",Quan 10,,,,,,,,Quan 10,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lã Xuân Oai,Phường Long Trường,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,,,Quan Chin,Quan 9,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Sư Vạn Hạnh,Phường 10,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",Quan 10,,,,,,,,Quan 10,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Hồng Phong,Phường 12,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",Quan 10,,,,,,,,Quan 10,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hai Bà Trưng,Phường Võ Thị Sáu,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",Quan 3,,,,,,,,Quan 3,Ho Chi Minh,HC,,Vietnam,,vn,0.07232142857142855,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Điện Biên Phủ,Phường Võ Thị Sáu,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",Quan 3,,,,,,,,Quan 3,Ho Chi Minh,HC,,Vietnam,,vn,0.06980609418282548,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Phúc Nguyên,Phường 10,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",Quan 3,,,,,,,Ho Chi Minh City,Quan 3,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Võ Thị Sáu,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",Quan 3,,,,,,,,Quan 3,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đặng Nguyên Cẩn,Phường 14,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",Quan 6,,,,,,,,Quan 6,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Đặng Văn Bi,Phường Bình Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.01688531392639407,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Dương Bá Trạc,Phường 11,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Số 907,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",10.84333,106.75167,"Linh Dong, HC, Vietnam",,,,,,,,Linh Dong,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.08930249999999999,0.35720999999999997,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hoàng Diệu 2,Phường Linh Trung,Quận Thủ Đức,TP. Hồ Chí Minh",10.8540611,106.7700132,"Nhứt Phở, 228, Hoang Dieu 2, Khu phố 11, Ho Chi Minh City, 00848, Vietnam",Nhứt Phở,228,Hoang Dieu 2,,,Khu phố 11,00848,Ho Chi Minh City,Phường Thủ Đức,,,0.09999999999999999,Vietnam,0.0026548672566371677,vn,0.045,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lạc Long Quân,Phường 10,Quận 11,TP. Hồ Chí Minh",10.762131,106.641724,"Quan 11, Vietnam",Quan 11,,,,,,,,Quan 11,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 30,Phường Linh Đông,Quận Thủ Đức,TP. Hồ Chí Minh",10.7595884,106.7115364,"Topping Milk Tea, 30, Đường Xóm Chiếu, Ho Chi Minh City, HC 70000, Vietnam",Topping Milk Tea,30,Đường Xóm Chiếu,,,,70000,Ho Chi Minh City,Phường Khánh Hội,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tam Bình,Quận Thủ Đức,TP. Hồ Chí Minh",10.7962664,106.6963052,"Trung tâm Hành chính công phường Gia Định, 98, Le Van Duyet Street, Gia Dinh, Ho Chi Minh City, 72200, Vietnam",Trung tâm Hành chính công phường Gia Định,98,Le Van Duyet Street,,,Gia Dinh,72200,Ho Chi Minh City,,,,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Số 238,Phường Hiệp Bình Chánh,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.015796231598435302,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Bỉnh Khiêm,Phường 15,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 5,Phường 10,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 3,Phường 9,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 9,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.2,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 51,Phường 14,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thiệu Lâu,Phường Hiệp Tân,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",Tan Phu,,,,,,,,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lũy Bán Bích,Phường Phú Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",Tan Phu,,,,,,,,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,,,Quan Tan Phu,Tan Phu,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Thị Năm,Phường Tân Chánh Hiệp,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",Quan 12,,,,,,,,Quan 12,Ho Chi Minh,HC,,Vietnam,,vn,0.08731523783929053,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tên Lửa,Phường Bình Trị Đông,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,,Binh Tan,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Các Đường Số 4A, 5A, 6A, 6B, 7A, 8B, 8C, 12, 12A, 12B, 16, 18, 19A, 19B, 19C, 19D, 19E, 19F, 21, 21A, 21E, 23, 25, 25A, 26, 28A, 31, 31A, 32B, 33A, 33B, 34B, 39 Thuộc Khu Dân Cư Bình Trị Đông B (P. Btđ B, P. An Lạc A),Phường Tân Tạo A,Quận Bình Tân,TP. Hồ Chí Minh",10.741169,106.54158,"39, Đường Số 4A, HC, Vietnam",,39,Đường Số 4A,,,,,,Binh Chanh,Ho Chi Minh,HC,0.63,Vietnam,,vn,0.0253459072795228,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Xuân 24,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.89511,106.679433,"24, Đường Thạnh Xuân 52, HC, Vietnam",,24,Đường Thạnh Xuân 52,,,,,,Hoc Mon,Ho Chi Minh,HC,0.19999999999999998,Vietnam,0,vn,0.09999999999999999,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Lạc Long Quân,Phường 11,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Trần Thánh Tông,Phường 15,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cách Mạng Tháng Tám,Phường 13,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Nguyễn Thái Bình,Phường 12,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Trần Thái Tông,Phường 15,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Trần Văn Dư,Phường 13,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.09527777777777775,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hoàng Bật Đạt,Phường 15,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hoàng Hoa Thám,Phường 13,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Nguyễn Trọng Tuyển,Phường 12,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",Tan Binh,,,,,,,,Tan Binh,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Xuân Soạn,Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thái Phiên,Phường 11,Quận 11,TP. Hồ Chí Minh",10.762131,106.641724,"Quan 11, Vietnam",Quan 11,,,,,,,,Quan 11,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Tạo,Xã Long Thới,Huyện Nhà Bè,TP. Hồ Chí Minh",10.6737604,106.7342134,"UBND Huyện Nhà Bè, Nguyễn Bình, Nhà Bè, Vietnam",UBND Huyện Nhà Bè,,Nguyễn Bình,,,,,Nhà Bè,Xã Nhà Bè,,,0.03333333333333333,Vietnam,,vn,0.3,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 359, Phường Phước Long B,Phường Phước Long B,Quận 9,TP. Hồ Chí Minh",10.88228745,106.76693634547452,"Chùa Linh Phước, Đường số 11, Khu phố 27, Ho Chi Minh City, 75350, Vietnam",Chùa Linh Phước,,Đường số 11,,,Khu phố 27,75350,Ho Chi Minh City,Phường Linh Xuân,,,,Vietnam,,vn,0.03473527900499999,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tôn Đản,Phường 14,Quận 4,TP. Hồ Chí Minh",10.759676,106.703296,"Quan 4, Vietnam",Quan 4,,,,,,,,Quan 4,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phan Đăng Lưu,Phường 17,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,Ho Chi Minh,HC,,Vietnam,,vn,0.1111111111111111,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Ảnh Thủ,Phường Tân Chánh Hiệp,Quận 12,TP. Hồ Chí Minh",10.875026,106.65772,"Quan 12, Vietnam",Quan 12,,,,,,,,Quan 12,Ho Chi Minh,HC,,Vietnam,,vn,0.08185941043083902,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Tô Ngọc Vân,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"đường 606,Phường Linh Tây,Quận Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"đường 127,Phường Tam Bình,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,,Vietnam,,vn,0.022598146012217518,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Ngũ Lão,Phường Phạm Ngũ Lão,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,HC,,Vietnam,,vn,0.225,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồ Xuân Hương,Phường 14,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Điện Biên Phủ,Phường 19,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",Binh Thanh,,,,,,,,Binh Thanh,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quách Điêu,Xã Vĩnh Lộc A,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trịnh Quang Nghị,Xã Phong Phú,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồ Thị Đục (Đường 6D),Xã Vĩnh Lộc B,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tùng Thiện Vương,Phường 13,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,,Vietnam,,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Linh,Xã Bình Hưng,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Phú Xuân,Huyện Nhà Bè,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Đào Tông Nguyên,Thị trấn Nhà Bè,Huyện Nhà Bè,TP. Hồ Chí Minh",10.675766,106.733932,"Phòng Giáo dục-Đào tạo huyện Nhà Bè, Ho Chi Minh City, HC, Vietnam",,,Phòng Giáo dục-Đào tạo huyện Nhà Bè,,,,,Ho Chi Minh City,Nha Be,Ho Chi Minh,HC,,Vietnam,,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trần Văn Giàu,Xã Bình Lợi,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,,Vietnam,,vn,0.1,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 37,Phường Bình Thuận,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,,Quan 7,Ho Chi Minh,HC,,Vietnam,,vn,0.09446064139941689,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
