original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường Quốc Lộ 22,Xã Phước Hiệp,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ao Đôi,Phường Bình Trị Đông A,Quận Bình Tân,TP. Hồ Chí Minh",10.775797,106.597583,"Đường Ao Đôi, HC, Vietnam",,,Đường Ao Đôi,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xuân Thới Thượng 31-4,Xã Xuân Thới Thượng,Huyện Hóc Môn,TP. Hồ Chí Minh",10.855774,106.562474,"Đường Xuân Thới Thượng 2, HC, Vietnam",,,Đường Xuân Thới Thượng 2,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,,0.09999999999999999,0.2222222222222222,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xuân Thới Sơn 38,Xã Xuân Thới Đông,Huyện Hóc Môn,TP. Hồ Chí Minh",10.871292,106.582293,"38, Đường Xuân Thới Sơn 20, HC, Vietnam",,38,Đường Xuân Thới Sơn 20,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0.09999999999999999,0.2222222222222222,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Văn Hoài,Thị trấn Củ Chi,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 120,Phường Tân Phú,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,Vietnam,vn,,0.05555555555555555,0.1111111111111111,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Bình Phú,Phường Tam Phú,Quận Thủ Đức,TP. Hồ Chí Minh",10.84863,106.77209,"Thu Duc, HC, Vietnam",,,,,,,Thu Duc,Thu Duc,Ho Chi Minh,HC,Vietnam,vn,,0.01943067033976125,0.1111111111111111,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Số 50,Phường Trường Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",10.77974385,106.69901186265822,"Saigon Notre Dame Cathedral, 1, Paris Commune Square, Saigon, Ho Chi Minh City, 71006, Vietnam",Saigon Notre Dame Cathedral,1,Paris Commune Square,71006,Khu phố 3,Saigon,Ho Chi Minh City,,,,Vietnam,vn,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 59B, Phường Tân Tạo,Phường Tân Tạo,Quận Bình Tân,TP. Hồ Chí Minh",11.025739118177485,106.37185428668161,"Đường số, Tây Ninh Province 89150, Vietnam",Đường số,,Đường số,89150,,,,Phường An Tịnh,Tây Ninh Province,,Vietnam,vn,,0.06000000000000001,0.18,0.12000000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xa Lộ Hà Nội,Phường Phước Long A,Quận 9,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
