original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county_code,county,state,confidence_building_level,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
"Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.851172,106.75405256836052,"Hi88 | Link Truy Cập Hi88 Không Bị Chặn Chính Thức Mới Nhất, 23, Tô Ngọc Vân, Ho Chi Minh City, 71221, Vietnam",Hi88 | Link Truy Cập Hi88 Không Bị Chặn Chính Thức Mới Nhất,23,Tô Ngọc Vân,,71221,,Ho Chi Minh City,,Phường Linh Xuân,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.9877112,106.68058451378135,"Phường Phú Lợi, Vietnam",,,,,75111,,,,Phường Phú Lợi,,,,Vietnam,vn,0.05555555555555555,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Uyên,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Bình Phú,TP. Hồ Chí Minh(Mới)",10.91502,107.23397,"Phường Phú Bình, DN, Vietnam",,,,,,,Phường Phú Bình,,Long Khanh,Dong Nai,,DN,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.80568,106.60518,"Phường Bình Hưng Hòa, HC, Vietnam",,,,,,,Phường Bình Hưng Hòa,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường Xuân Hòa,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tây Nam,TP. Hồ Chí Minh(Mới)",20.993304,105.826192,"Đường Phương Nam, Hanoi, HI, Vietnam",,,Đường Phương Nam,,,,Hanoi,,Hoan Kiem,Ha Noi,,HI,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Thuận,TP. Hồ Chí Minh(Mới)",10.75488175,106.68943610437688,"People's Committee of Ward 1, Ben Van Don Street, Ho Chi Minh City, HC 72760, Vietnam",People's Committee of Ward 1,,Ben Van Don Street,,72760,,Ho Chi Minh City,,Phường Vĩnh Hội,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Phú Thạnh,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Thới Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
