original_address,lat,lon,formatted,name,postcode,county_code,housenumber,suburb,district,street,confidence_city_level,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_building_level,attribution,attribution_license,attribution_url
"Đường Sinco,Phường An Lạc,TP. Hồ Chí Minh(Mới)",10.734241,106.606911,"Đường Sincô, HC, Vietnam",,,,,,,Đường Sincô,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Long Điền,TP. Hồ Chí Minh(Mới)",10.4851113,107.2119218,"Long Dien, Vietnam",,78107,,,,,,,Long Dien,Xã Long Điền,,,,Vietnam,vn,0.05,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tp. Thủ Đức,Phường An Khánh,TP. Hồ Chí Minh(Mới)",,,,,,,,,,,,,,,,,,,,,,,
"Đường Trường Sa,Phường Gia Định,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đx-150 - Đường Loại 5,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 5C,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.741803,106.545524,"Đường Số 5C, HC, Vietnam",,,,,,,Đường Số 5C,,,Binh Chanh,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường liên khu 16 - 18,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.759973,106.613555,"Đường Liên Khu 16-18, Ho Chi Minh City, HC, Vietnam",,,,,,,Đường Liên Khu 16-18,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đt.741 - Đường Loại 2,Phường Chánh Phú Hòa,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đt.741 - Đường Loại 2,Phường Hòa Lợi,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đỗ Thừa Luông,Phường Phú Thọ Hòa,TP. Hồ Chí Minh(Mới)",10.792235,106.617996,"Hẻm 29 Đường Đỗ Thừa Luông, Ho Chi Minh City, HC, Vietnam",,,,,,,Hẻm 29 Đường Đỗ Thừa Luông,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quang Trung,Phường An Hội Tây,TP. Hồ Chí Minh(Mới)",15.87944,108.335,"Hoi An, QM, Vietnam",,,,,,,,,Hoi An,Hoi An,Quang Nam,,QM,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
