original_address,lat,lon,formatted,district,name,county_code,housenumber,street,postcode,suburb,city,county,confidence_city_level,confidence_street_level,confidence_building_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Tám Danh,Phường 04,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Phú Lâm,TP. Hồ Chí Minh",19.4073449,105.7042693,"Phú Lâm, Thanh Hóa Province, Vietnam",,,,,,,,Phú Lâm,,0.1111111111111111,,,Thanh Hóa Province,,Vietnam,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Thị Riêng,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Đức Thọ,Phường 15,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Tan Tuc, HC, Vietnam",,,,,,,,Tan Tuc,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Tân Thành,Quận Tân Phú,TP. Hồ Chí Minh",21.39192,103.02442,"Phường Tân Thanh, DB, Vietnam",,,,,,,,Phường Tân Thanh,Dien Bien Phu,0.2222222222222222,,,Dien Bien,DB,Vietnam,vn,0.05555555555555555,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường 10,Quận Gò Vấp,TP. Hồ Chí Minh",10.7513543,106.6695873,"An Duyen Vegetarian, 10, Nguyen Tri Phuong Boulevard, Ho Chi Minh City, HC 73009, Vietnam",,An Duyen Vegetarian,,10,Nguyen Tri Phuong Boulevard,73009,,Ho Chi Minh City,Phường An Đông,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường 11,Quận Gò Vấp,TP. Hồ Chí Minh",10.81667,106.68333,"Go Vap, HC, Vietnam",,,,,,,,Go Vap,Binh Thanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.2,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tô Hiệu,Phường Hiệp Tân,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",,Tan Phu,,,,,,,Tan Phu,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cống Lở,Phường 15,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Cư Trinh,Phường 17,Quận Bình Thạnh,TP. Hồ Chí Minh",10.808551,106.70315,"Binh Thanh, Vietnam",,Binh Thanh,,,,,,,Binh Thanh,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Song Hành,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,Xa Moi,Cu Chi,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tạ Mỹ Duật,Phường  An Lạc,Quận Bình Tân,TP. Hồ Chí Minh",10.743561,106.619558,"Đường Tạ Mỹ Duật, Ho Chi Minh City, HC, Vietnam",,,,,Đường Tạ Mỹ Duật,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0.2857142857142857,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hoà Đông,Phường 13,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",,Quan 6,,,,,,,Quan 6,,,,Ho Chi Minh,HC,Vietnam,vn,0.0984375,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tây Thạnh,Phường Tây Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",10.78379,106.63704,"Quan Tan Phu, HC, Vietnam",,,,,,,,Quan Tan Phu,Tan Phu,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trần Văn Kiểu,Phường 10,Quận 6,TP. Hồ Chí Minh",10.743329,106.623766,"Quan 6, Vietnam",,Quan 6,,,,,,,Quan 6,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
