original_address,lat,lon,formatted,name,housenumber,state,district,state_code,street,confidence_city_level,postcode,suburb,city,confidence_building_level,confidence_street_level,county,country,country_code,confidence,attribution,attribution_license,attribution_url
"Đường Huỳnh Văn Lũy,Phường Bình Dương,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thích Quảng Đức,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Văn Lộng,Phường Chánh Hiệp,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thuận Giao 2,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",10.952165,106.723286,"2, Đường Thuận Giao 24, BI, Vietnam",,2,Bin Duong,,BI,Đường Thuận Giao 24,,,,,0,,Thuan An,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Phạm Thị Tân,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Hữu Cảnh,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.783319643549177,106.70707738861537,"Nguyễn Hữu Cảnh, Saigon, Ho Chi Minh City, 71006, Vietnam",Nguyễn Hữu Cảnh,,,Ba Son,,Nguyễn Hữu Cảnh,,71006,Saigon,Ho Chi Minh City,,,,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cách Mạng Tháng 8,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.9877112,106.68058451378135,"Phường Phú Lợi, Vietnam",,,,,,,,75111,,,,,Phường Phú Lợi,Vietnam,vn,0.05555555555555555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Hồng Phong,Phường Thủ Dầu Một,TP. Hồ Chí Minh(Mới)",10.7637813,106.6814719336958,"Le Hong Phong High School for the Gifted, 235, Nguyễn Văn Cừ, Ho Chi Minh City, 72760, Vietnam",Le Hong Phong High School for the Gifted,235,,,,Nguyễn Văn Cừ,,72760,,Ho Chi Minh City,,,Phường Cầu Ông Lãnh,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường ĐX125,Phường Phú An,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Ho Chi Minh City,,,Quan 8,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Võ Thị Hồi,Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Phạm Văn Chèo,Xã Tân An Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bà Điểm 5,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",10.83775,106.604233,"5, Đường Bà Điểm 10B, HC, Vietnam",,5,Ho Chi Minh,,HC,Đường Bà Điểm 10B,,,,,0,,Hoc Mon,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 490,Xã Nhuận Đức,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đỗ Đăng Tuyến,Xã An Nhơn Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 207,Xã Bình Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tỉnh Lộ 7,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,Ho Chi Minh,,HC,,,,,Xa Moi,,,Cu Chi,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
